review_id,review_type,clause_type,contract,qwen_label,gemini_label,qwen_confidence,gemini_confidence,qwen_reason,gemini_reason,clause_text,final_label,notes
TYPE_013,TYPE_DISAGREEMENT,Irrevocable Or Perpetual License,"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT",LOW,MEDIUM,0.0,0.9,"The clause includes a standard carve-out allowing transfer in accordance with a referenced section, which typically permits assignment in events like mergers or acquisitions, preventing an absolute restriction on the signing party's ability to transfer rights.","The license is explicitly stated as non-transferable, which generally limits the signing party's flexibility to divest or restructure. However, the parenthetical 'except in accordance with Section 28.4' indicates there might be specific conditions under which transfer is permitted, potentially mitigating the risk. Without the full text of Section 28.4, it's impossible to fully assess the extent of this limitation, but the default is non-transferable.","Subject to the terms and conditions of this Agreement, the Company hereby grants to Allscripts and its Affiliates a non- exclusive, royalty-free, irrevocable [***] non-transferable (except in accordance with Section 28.4), sublicensable (through multiple levels of sublicensees), fully paid-up right and license under all of the Company's Intellectual Property to, throughout the Territory, access, use, reproduce, perform, display, modify, create derivative works of, transmit, demonstrate, test, operate, port, configure, distribute, and make available the Installed Software and Subscription Software Services",,
TYPE_003,TYPE_DISAGREEMENT,Irrevocable Or Perpetual License,BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,MEDIUM,LOW,0.9,1.0,"The license is perpetual and survives termination, which is favorable, but it is conditioned on the drafter (Life Technologies) not terminating for uncured material breach; this creates a significant risk that a dispute over what constitutes a 'material breach' could result in the immediate loss of the perpetual license rights.","The clause grants the signing party (Biocept) a perpetual, royalty-free, fully-paid, and sublicensable license to use the specified developments even after the agreement's termination, provided termination wasn't due to Biocept's uncured material breach. This is highly favorable to the signing party, ensuring continued access to critical intellectual property.","To the extent any Development owned by Life Technologies relates directly to the practice of, or constitutes an improvement to, the Assay, Life Technologies hereby grants to Biocept, during the Term of this Agreement, and, except in the case of termination of this Agreement by Life Technologies for Biocept's uncured material breach, after expiration or termination of this Agreement, a non-exclusive, worldwide, royalty-free, fully-paid license, including the right to sublicense, under Life Technologies' Intellectual Property Rights in such Developments, solely to develop, make, have made, use, sell, have sold, offer for sale, import, perform and provide the Assay.",,
TYPE_006,TYPE_DISAGREEMENT,Irrevocable Or Perpetual License,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1,MEDIUM,LOW,0.0,1.0,"The grant is perpetual and irrevocable, meaning the signing party (Bank of America) retains rights to the Supplier's pre-existing IP indefinitely even after the contract ends, without the ability to revoke or renegotiate. While the license is nonexclusive and royalty-free, the lack of a termination date or scope limitation on the duration creates a permanent encumbrance on the Supplier's IP assets that is more burdensome than a standard term-limited license.","This clause grants the signing party (Bank of America) a very favorable, broad, and perpetual license to any pre-existing intellectual property embedded in the work product. This is highly beneficial as it ensures long-term, unrestricted use of essential IP without additional royalties, which is a strong protection for the customer.","Unless otherwise agreed in an Order, Supplier grants Bank of America a perpetual, worldwide, irrevocable, nonexclusive royalty free license to any Pre-existing IP embedded in the Work Product, which shall permit Bank of America and any transferee or sublicensee of Bank of America, subject to the restrictions in this Agreement, to make, use, import, reproduce, display, distribute, make derivative works and modify such Pre-existing IP as necessary or desirable for the use of the Work Product.",,
TYPE_012,TYPE_DISAGREEMENT,Irrevocable Or Perpetual License,Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT ,MEDIUM,LOW,0.9,1.0,"The clause creates a perpetual license obligation that survives termination, which is a significant long-term commitment. While the license is non-exclusive and royalty-free (favorable), the 'perpetual' nature and restrictions on transferability limit the signing party's future flexibility to re-license or sell the rights, representing a one-sided constraint that warrants attention.","The clause grants the signing party a perpetual, royalty-free license to use the specified data upon termination, which is highly favorable as it allows continued use without ongoing costs or time limits. While non-transferable and non-assignable, this is a common limitation for such licenses and does not negate the significant benefit of perpetual, royalty-free use.","Upon the termination of this Agreement, the license granted in Section 6.11(c) above shall convert to a perpetual, non-exclusive, royalty-free, non-transferable and non-assignable license (without the right to sublicense, except as specifically set forth in Section 6.11(h) below) to use the Additional Roundup Products Formulation Data to make, sell and offer for sale, in the Included Markets for each such Additional Roundup Product, products comparable to such Additional Roundup Products, and to the limited extent necessary, to register such products with federal, state or territorial government authorities (as may be required by law) in the United States and its territories.",,
TYPE_020,TYPE_DISAGREEMENT,Liquidated Damages,BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING AGREEMENT,HIGH,MEDIUM,0.9,0.9,"The formula creates a potentially unlimited and disproportionate liability for the signing party (Co-Host) by requiring them to repay the full fees paid if actual revenue falls short of minimum targets, effectively acting as a penalty rather than a reasonable estimate of damages. This exposes the signing party to significant financial loss based on performance metrics that may be outside their sole control, with no cap or mutual limitation.","This clause defines 'Liquidated Damages Amount' in a way that could potentially penalize the Co-Host (the signing party) if actual revenue falls short of minimum revenue targets. While it provides a formula, the specific financial impact depends heavily on the 'Minimum Revenue Targets' and 'Co-Hosting Fee' which are not defined here. If the Minimum Revenue Targets are aggressive, this could result in a significant liquidated damages payment for the Co-Host, making it a moderate risk. It's not inherently balanced as it seems to protect the drafter's revenue expectations.","""Liquidated Damages Amount"" shall mean the difference between (i) the aggregate amount of the Co-Hosting Fee paid by Co-Host (the ""Aggregate Fee"") and (ii) the Aggregate Fee multiplied by a number the numerator of which shall be the actual Aggregate Revenue through the effective date of termination of the Agreement and the denominator of which shall be the aggregate of the Minimum Revenue Targets through the effective date of the termination.",,
TYPE_019,TYPE_DISAGREEMENT,Liquidated Damages,"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",HIGH,MEDIUM,0.85,0.7,"The clause imposes a specific, unilateral obligation on the signing party (BLI) to replace a 'Key Person' within a fixed timeframe if a violation occurs, creating significant operational disruption and potential liability exposure that is not balanced by reciprocal restrictions or clear definitions of the replacement process.","This clause appears to be a remedy provision for a no-solicit clause, rather than the no-solicit clause itself. It outlines the consequences if a 'Key Person' is solicited and hired in violation of an unstated no-solicit provision. The risk is medium because the specific terms of the no-solicit are missing, but the existence of a detailed remedy for 'Key Persons' suggests a potentially restrictive underlying no-solicit clause. The waiver of certain obligations for BLI for a period due to the absence of a Key Person could shift the burden or impact the signing party's project timelines or deliverables.","([***]) by the non-hiring Party in the immediately prior calendar year and, further, if the individual solicited and then hired in violation of this is a Key Person under Section 5.4.1(b) (Dedicated FTEs; Key Persons), then BLI shall have [***] ([***]) months to identify an employee as the individual to replace such Key Person and any (a) [***] or (b) [***], in each case (a)-(b), to the extent due to the absence of such Key Person performing a Workflow Development Plan upon which the Key Person was engaged, shall be deemed waived for that [***] month period.",,
TYPE_034,TYPE_DISAGREEMENT,Liquidated Damages,VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement,LOW,MEDIUM,0.95,0.9,"The clause describes a standard success fee or earn-out obligation triggered by a liquidity event, which is a common commercial term for the signing party (JHU) to receive compensation upon a sale; it does not impose termination rights or restrictive covenants on the counterparty.","This clause imposes a financial obligation on the COMPANY (the signing party) upon a change of control (Liquidity Event). While a 1% fee might be considered low, any fee tied to a change of control event is a financial burden that reduces the value of the transaction for the COMPANY's shareholders. It's not a termination right or consent requirement, but it's an unusual financial obligation that warrants attention.","COMPANY will pay JHU a fee equal one percent (1%) of the Aggregate Consideration received by the COMPANY, or the total amount received by stockholders of COMPANY, upon the occurrence of a Liquidity Event.",,
TYPE_021,TYPE_DISAGREEMENT,Liquidated Damages,CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT,HIGH,MEDIUM,0.9,0.9,"The clause creates a significant one-sided liability exposure by allowing the Company to terminate with short notice while imposing a mandatory 'Termination Fee' payment. This exposes the signing party (Contractor) to the risk of an undefined or potentially excessive financial penalty, as the specific amount of the fee is not defined in the text and the Company retains unilateral discretion to trigger this cost.","The clause allows the Company (drafter) to terminate with less than the standard six months' notice, provided it pays a termination fee. While the fee offers some compensation, the signing party (Contractor) loses the benefit of the full notice period, which could disrupt their business operations. The specific amount of the 'Termination Fee' is not defined, making it impossible to assess if it adequately compensates the Contractor for the reduced notice period.","Either party hereto may terminate this Agreement after the Initial Period upon at least six (6) months' prior written notice to the other party thereof. The Company may terminate this Agreement in accordance with the immediately preceding sentence but with less than six (6) months' prior written notice to Contractor; provided, that in such event, the Company shall pay Contractor an amount equal to the Termination Fee.",,
TYPE_018,TYPE_DISAGREEMENT,Liquidated Damages,AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement,HIGH,MEDIUM,0.95,0.8,"The clause explicitly carves out an exception to the 'No Consequential Damages' limitation, allowing the drafter (ACSI) to claim liquidated damages despite the general exclusion of consequential liability. This creates a significant, one-sided exposure for the signing party by bypassing standard liability caps and potentially imposing disproportionate financial penalties without the usual protections.","This clause explicitly carves out ACSI's right to receive liquidated damages from the general limitation on consequential damages. While the clause itself doesn't define the liquidated damages, it signals that ACSI (likely the drafter/vendor) has a specific, potentially significant, financial remedy that is not subject to the usual caps on liability. This creates an asymmetry where the signing party's liability for liquidated damages to ACSI might be uncapped, while ACSI's liability to the signing party could still be subject to the consequential damages exclusion. The actual risk depends on the terms in Section 10.5.2, but this carve-out is a red flag for the signing party.","FOR THE AVOIDANCE OF DOUBT, THE PARTIES HEREBY ACKNOWLEDGE AND AGREE THAT NOTHING IN THIS SECTION 8.2  [No Consequential Damages] IS INTENDED TO LIMIT ANY RIGHT OF ACSI TO RECEIVE LIQUIDATED DAMAGES AS SET FORTH IN SECTION 10.5.2  [Effect of Termination].",,
TYPE_035,TYPE_DISAGREEMENT,Liquidated Damages,VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement,HIGH,MEDIUM,0.95,0.9,"The clause imposes a severe, one-sided financial penalty of double the employee's total compensation on the signing party if they hire a former employee, creating disproportionate liability exposure that far exceeds typical market standards for non-solicitation remedies.","This clause imposes a significant liquidated damages amount (two times annual salary and bonus) for employee poaching. While mutual, such a high fixed amount could be disproportionate to actual damages and may be difficult to challenge, creating a substantial financial risk for the signing party if they hire an employee from the other party.","If any such action occurs and results in an employee accepting employment with the other Party, the Party with whom the employee accepts employment agrees to pay to the other Party as liquidated damages, an amount equal to two times that particular individual's annual salary and bonus.",,
TYPE_030,TYPE_DISAGREEMENT,Liquidated Damages,MPLXLP_06_17_2015-EX-10.1-TRANSPORTATION SERVICES AGREEMENT,HIGH,MEDIUM,0.85,0.6,"The clause imposes a strict, one-sided obligation on the signing party (Shipper) with a short 180-day notification window, creating significant liability exposure for missing a deadline without mentioning any corresponding rights or remedies for the drafter (MPL) or force majeure protections.","The clause is incomplete, making a full assessment difficult. However, it appears to set conditions under which the Shipper (signing party) could be liable for liquidated damages or a termination fee. The lack of detail on the 'damages' or 'fee' amount, and the specific consequences of MPL's 'unsuccessful' efforts, means the Shipper is exposed to an unknown financial penalty based on these triggers. This warrants attention as the financial impact is undefined.",If Shipper fails to notify MPL within one hundred and eighty (180) days of the Project's in-service date or if MPL is unsuccessful in obtaining additional volume commitments as provided for in Section 3.8 to,,
TYPE_023,TYPE_DISAGREEMENT,Liquidated Damages,EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,HIGH,MEDIUM,0.95,0.9,"The clause grants the counterparty (CHT) an unilateral right to terminate the contract without cause, leaving the signing party (Ehave) with no security of tenure or ability to prevent termination, creating significant business uncertainty and potential revenue loss.","The clause grants the counterparty (CHT) a unilateral right to terminate for convenience, which inherently creates risk for the signing party (Ehave) by allowing the counterparty to end the agreement without Ehave's fault. While a termination fee is mentioned, its adequacy cannot be assessed without knowing the amount in Schedule 6. The 30-day notice period is standard, but the core issue is the counterparty's sole discretion to terminate, which could disrupt Ehave's business plans.","In addition, CHT may terminate this Agreement and the rights granted hereunder, in whole or in part, and without prejudice to enforcement of any other legal right or remedy (including any express termination right set forth elsewhere in this Agreement), at any time without cause, by providing at least thirty (30) Business Days prior written notice to Ehave, but subject to payment of a termination fee equal to an amount set out in Schedule 6.",,
TYPE_027,TYPE_DISAGREEMENT,Liquidated Damages,"INTERSECTENT,INC_05_11_2020-EX-10.1-SUPPLY AGREEMENT",HIGH,MEDIUM,0.85,0.9,"The clause grants the acquiring party unilateral discretion to terminate the contract based on a subjective 'reason to not wish' standard, lacking objective criteria or a requirement for the signing party's consent, creating significant uncertainty and potential for opportunistic termination.","The clause allows either party to terminate the contract upon a change of control if the acquiring company 'has reason to not wish to continue the relationship,' which is a subjective standard. While it offers a buyout payment, the signing party (as the counterparty) does not have a reciprocal right to terminate or demand consent if the other party undergoes a change of control, creating an imbalance. The lack of specific terms for the buyout payment (amount, timing, etc.) also introduces uncertainty.","In the case that either company is acquired by, or merges with, another company which has reason to not wish to continue the relationship, that company may make a contract buyout payment [*] for the [*], with a [*] buyout payment amount of [*].",,
TYPE_029,TYPE_DISAGREEMENT,Liquidated Damages,MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT,HIGH,MEDIUM,0.9,0.9,"The clause imposes unlimited financial liability on the signing party (MSL) for the entire cost of a product recall based on a defect rate threshold, without any cap on damages, exclusion of consequential damages, or requirement for IBM to mitigate losses, creating disproportionate exposure.","The clause makes MSL (the signing party) responsible for the cost of a product recall if a specific defect rate is met due to MSL's non-conformance or workmanship. While it defines the conditions for recall cost acceptance, it represents a significant financial liability for MSL, making it a medium risk. It's not high because the conditions are somewhat defined, but it's not low due to the potential for substantial costs.","In the case where any specific Product, shipped to IBM from MSL within any       [*] month experiences a defect rate of [*]% or greater, resulting from a       common cause due to MSL's non-conformance to specifications, drawings,       other descriptions furnished or adopted by IBM, or due to workmanship, MSL       will accept the cost of a Product Recall.",,
TYPE_024,TYPE_DISAGREEMENT,Liquidated Damages,"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT",HIGH,MEDIUM,0.95,0.9,"The clause imposes a severe, one-sided financial penalty (six months' salary) for a single hiring act without requiring proof of actual damages, lack of good faith, or a time limit on the restriction, creating disproportionate liability exposure for the signing party.","The clause imposes a specific liquidated damages amount for soliciting or hiring EDGE employees without consent. While a no-solicit clause is common, the liquidated damages amount, though calculable, is a fixed penalty that may not reflect actual damages and could be substantial, creating a financial risk for the Subcontractor. It is not explicitly stated whether this is the sole remedy, which could lead to further claims.","In the event Subcontractor directly employs or contracts with an employee of EDGE without the consent of EDGE, Subcontractor shall pay as liquidated damages two times the then monthly salary of the employee for a three-month period of time.",,
